L,task,trained,reference_size,k,observed,alpha_own,alpha_pooled,pred_transfer,err_transfer,pred_last,err_last,pred_own,err_own
2,bpb_ars_Arab,False,1.7B,2,1.47077,0.11587379422032744,0.163719672507774,1.2671656230358377,-0.13843386590980386,1.626041,0.10557123139579959,,
2,bpb_ars_Arab,False,1.7B,3,1.47077,0.11587379422032744,0.163719672507774,1.2860884860507127,-0.12556790929192685,1.571071,0.06819625094338354,1.3415662903273964,-0.0878476646060251
2,bpb_ars_Arab,False,1.7B,4,1.47077,0.11587379422032744,0.163719672507774,1.3097692043776974,-0.1094670109006184,1.509022,0.02600814539322952,1.3975985347095676,-0.049750447242214814
2,bpb_ary_Arab,False,1.7B,1,1.248967,0.147639568863729,0.163719672507774,1.1617003878166903,-0.06987103116680399,1.685593,0.34958970092884756,,
2,bpb_ary_Arab,False,1.7B,2,1.248967,0.147639568863729,0.163719672507774,1.1339633759871615,-0.09207899329032591,1.433765,0.1479606747015734,,
2,bpb_ary_Arab,False,1.7B,3,1.248967,0.147639568863729,0.163719672507774,1.1402743298612918,-0.08702605444235764,1.367351,0.09478553076262228,1.123521994727103,-0.10043900701371376
2,bpb_ary_Arab,False,1.7B,4,1.248967,0.147639568863729,0.163719672507774,1.1520059557242912,-0.07763299132459764,1.295746,0.037454152111304886,1.1774109474876329,-0.05729218827428353
2,bpb_arz_Arab,False,1.7B,1,1.358832,0.1335611171632709,0.163719672507774,1.2256003772312167,-0.09804863498120688,1.77831,0.3087048288530149,,
2,bpb_arz_Arab,False,1.7B,2,1.358832,0.1335611171632709,0.163719672507774,1.2019292910945927,-0.11546880622873715,1.526803,0.12361425106267726,,
2,bpb_arz_Arab,False,1.7B,3,1.358832,0.1335611171632709,0.163719672507774,1.2138136532651047,-0.10672279335112458,1.468075,0.08039478022301504,1.2240012539964147,-0.0992254715841144
2,bpb_arz_Arab,False,1.7B,4,1.358832,0.1335611171632709,0.163719672507774,1.231031824938689,-0.09405149058994132,1.400716,0.03082353079703748,1.2824390347753196,-0.0562195806580066
2,bpb_asm_Beng,False,1.7B,1,1.135594,0.1379636747928377,0.163719672507774,1.0352236612464016,-0.08838576001070661,1.502079,0.3227253754422795,,
2,bpb_asm_Beng,False,1.7B,2,1.135594,0.1379636747928377,0.163719672507774,0.9859512021277064,-0.13177491063909602,1.216328,0.07109407059213071,,
2,bpb_asm_Beng,False,1.7B,3,1.135594,0.1379636747928377,0.163719672507774,0.9910781391434892,-0.12726014830697485,1.18758,0.045778684987768596,0.9402544759964833,-0.17201528363439464
2,bpb_asm_Beng,False,1.7B,4,1.135594,0.1379636747928377,0.163719672507774,1.011595641413963,-0.10919250945851855,1.173365,0.03326100701483101,1.0475643213291415,-0.07751861904065938
2,bpb_azj_Latn,False,1.7B,1,1.697567,0.18146836006698272,0.16332255590354625,1.7198516965509683,0.013127432702784755,2.493202,0.4686913682935637,,
2,bpb_azj_Latn,False,1.7B,2,1.697567,0.18146836006698272,0.16332255590354625,1.6571140190523037,-0.02382997604671647,2.06688,0.21755429977137855,,
2,bpb_azj_Latn,False,1.7B,3,1.697567,0.18146836006698272,0.16332255590354625,1.6532905667791615,-0.026082289076565766,1.950802,0.14917526082917484,1.5510521254965148,-0.08630874333884035
2,bpb_azj_Latn,False,1.7B,4,1.697567,0.18146836006698272,0.16332255590354625,1.6530400574549813,-0.026229858700728022,1.80187,0.06144264114464998,1.6128465775107328,-0.04990696831952274
2,bpb_bel_Cyrl,False,1.7B,1,0.92724,0.26688856931754806,0.16332255590354625,1.1450773343397358,0.23493090714349668,1.659974,0.7902312238471163,,
2,bpb_bel_Cyrl,False,1.7B,2,0.92724,0.26688856931754806,0.16332255590354625,1.0762338614650155,0.16068532576788705,1.309423,0.4121726845261206,,
