task,L,family,kind,n_rungs,gated_rungs,gated,slope,r2,rho,n_options
bpb_dclm,15,bpb,bpb,4,0,False,-0.2932449932970269,0.9612900107320574,-1.0,
bpb_dclm,30,bpb,bpb,5,0,False,-0.25449482108829286,0.9590308571568213,-0.9999999999999999,
bpb_dclm,50,bpb,bpb,4,0,False,-0.28940529889480626,0.9602451638573887,-1.0,
bpb_deu_Latn,8,bpb,bpb,5,0,False,-0.37417414171595453,0.94333733291774,-0.9999999999999999,
bpb_deu_Latn,15,bpb,bpb,4,0,False,-0.42198064237090127,0.9572251798816463,-1.0,
bpb_deu_Latn,30,bpb,bpb,5,0,False,-0.37083425548367194,0.9514041013628924,-0.9999999999999999,
bpb_deu_Latn,50,bpb,bpb,4,0,False,-0.4305858028862122,0.9552525467007291,-1.0,
bpb_ekk_Latn,50,bpb,bpb,4,0,False,-0.8056074174399797,0.9689140794728792,-1.0,
bpb_ell_Grek,30,bpb,bpb,5,0,False,-0.26281773522869645,0.952420262873825,-0.9999999999999999,
bpb_ell_Grek,50,bpb,bpb,4,0,False,-0.301196102414452,0.9540751356323987,-1.0,
bpb_fas_Arab,15,bpb,bpb,4,0,False,-0.32729135630810835,0.9582488274721378,-1.0,
bpb_fas_Arab,30,bpb,bpb,5,0,False,-0.2910273106925683,0.9508892675005074,-0.9999999999999999,
bpb_fas_Arab,50,bpb,bpb,4,0,False,-0.33352278278868885,0.953965309793598,-1.0,
bpb_fin_Latn,30,bpb,bpb,5,0,False,-0.599149114552549,0.9628504595113582,-0.9999999999999999,
bpb_fin_Latn,50,bpb,bpb,4,0,False,-0.6840101448053458,0.9633225912182938,-1.0,
bpb_fra_Latn,8,bpb,bpb,5,0,False,-0.30738301960217895,0.9419109107010982,-0.9999999999999999,
bpb_fra_Latn,15,bpb,bpb,4,0,False,-0.34686617257633906,0.9549863994868276,-1.0,
bpb_fra_Latn,30,bpb,bpb,5,0,False,-0.3038111166412958,0.9500354585303001,-0.9999999999999999,
bpb_fra_Latn,50,bpb,bpb,4,0,False,-0.35421022262730484,0.9528556573335948,-1.0,
bpb_heb_Hebr,50,bpb,bpb,4,0,False,-0.49066552304199096,0.9674127640398383,-1.0,
bpb_hin_Deva,30,bpb,bpb,5,0,False,-0.2167268550583483,0.9675183722212475,-0.9999999999999999,
bpb_hin_Deva,50,bpb,bpb,4,0,False,-0.24774724614189061,0.9668142947468277,-1.0,
bpb_hrv_Latn,50,bpb,bpb,4,0,False,-0.6956831281209283,0.9526730681552514,-1.0,
bpb_hun_Latn,30,bpb,bpb,5,0,False,-0.5151593766824232,0.9622097864536684,-0.9999999999999999,
bpb_hun_Latn,50,bpb,bpb,4,0,False,-0.5894299857646998,0.9611554347901428,-1.0,
bpb_ind_Latn,15,bpb,bpb,4,0,False,-0.40258987877120866,0.9558610087187918,-1.0,
bpb_ind_Latn,30,bpb,bpb,5,0,False,-0.35738950854572715,0.9521109556258318,-0.9999999999999999,
bpb_ind_Latn,50,bpb,bpb,4,0,False,-0.4072030187238194,0.9533915873880934,-1.0,
bpb_ita_Latn,8,bpb,bpb,5,0,False,-0.37169063643822503,0.9414138828113356,-0.9999999999999999,
bpb_ita_Latn,15,bpb,bpb,4,0,False,-0.41978105592005316,0.9551673640073324,-1.0,
bpb_ita_Latn,30,bpb,bpb,5,0,False,-0.3692206689355514,0.9498005178927232,-0.9999999999999999,
bpb_ita_Latn,50,bpb,bpb,4,0,False,-0.4287713299795818,0.9532574943864155,-1.0,
bpb_jpn_Jpan,8,bpb,bpb,5,0,False,-0.35512989467769374,0.9487110637922168,-0.9999999999999999,
bpb_jpn_Jpan,15,bpb,bpb,4,0,False,-0.39353031712357306,0.9618695828448938,-1.0,
bpb_jpn_Jpan,30,bpb,bpb,5,0,False,-0.34749283435099815,0.9597873279464959,-0.9999999999999999,
bpb_jpn_Jpan,50,bpb,bpb,4,0,False,-0.3979401425405475,0.9590559867502118,-1.0,
bpb_kat_Geor,50,bpb,bpb,4,0,False,-0.2714313209439641,0.9744538445609611,-1.0,
bpb_kaz_Cyrl,50,bpb,bpb,4,0,False,-0.41588027375589265,0.9709708212290513,-1.0,
bpb_kor_Hang,30,bpb,bpb,5,0,False,-0.41682941473179164,0.9566518955826694,-0.9999999999999999,
