intervention,label,population,L,proxy_size,frac,reference_size,n_items,decision_acc,n_decided,decision_acc_decided,mean_abs_delta_proxy,mean_abs_delta_ref,reference_prefers
arch,depth (deep vs shallow),benchmark,2,350M,1.0,1.7B,107,0.4953271028037383,20,0.45,0.0259499626168224,0.0374245700934579,deep
arch,depth (deep vs shallow),benchmark,2,600M,1.0,1.7B,107,0.4579439252336448,20,0.45,0.0371155607476635,0.0374245700934579,deep
arch,depth (deep vs shallow),benchmark,2,1B,1.0,1.7B,107,0.4299065420560747,20,0.35,0.0354857009345794,0.0374245700934579,deep
arch,depth (deep vs shallow),bpb_macro,2,175M,0.1,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,350M,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,600M,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1B,0.1,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1.7B,0.1,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,175M,0.2,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,350M,0.2,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,600M,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1B,0.2,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1.7B,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,175M,0.3,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,350M,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,600M,0.3,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1B,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1.7B,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,175M,0.4,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,350M,0.4,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,600M,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1B,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1.7B,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,175M,0.5,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,350M,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,600M,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1B,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1.7B,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,175M,0.6,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,350M,0.6,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,600M,0.6,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1B,0.6,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1.7B,0.6,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,175M,0.7,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,350M,0.7,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,600M,0.7,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1B,0.7,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1.7B,0.7,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,175M,0.8,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,350M,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,600M,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1B,0.8,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1.7B,0.8,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,175M,0.9,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,350M,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,600M,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1B,0.9,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,1.7B,0.9,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),bpb_macro,2,175M,1.0,1.7B,1,0.0,0,,0.0840609999999997,0.0114069999999999,shallow
arch,depth (deep vs shallow),bpb_macro,2,350M,1.0,1.7B,1,1.0,0,,0.008941,0.0114069999999999,shallow
arch,depth (deep vs shallow),bpb_macro,2,600M,1.0,1.7B,1,1.0,0,,0.0186009999999998,0.0114069999999999,shallow
arch,depth (deep vs shallow),bpb_macro,2,1B,1.0,1.7B,1,1.0,0,,0.0013800000000001,0.0114069999999999,shallow
arch,depth (deep vs shallow),loss,2,175M,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,350M,0.1,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,600M,0.1,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,1B,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,1.7B,0.1,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,175M,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,350M,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,600M,0.2,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,1B,0.2,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,1.7B,0.2,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,175M,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,350M,0.3,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,600M,0.3,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,1B,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,1.7B,0.3,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,175M,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,350M,0.4,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,600M,0.4,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,1B,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,1.7B,0.4,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,175M,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,350M,0.5,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,600M,0.5,1.7B,1,0.0,0,,,,
arch,depth (deep vs shallow),loss,2,1B,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,1.7B,0.5,1.7B,1,1.0,0,,,,
arch,depth (deep vs shallow),loss,2,175M,0.6,1.7B,1,1.0,0,,,,
